1,2,Label
,tweet
0,"Abis nonton habibie ainun 3, pernah lihat repiew2 katanya kurang inilah itulah,  Lha a bodo amat aja lah. Waktu nonton saya pikir gimana mau dapat yang  ""se-frekuensi dan yang terbaik"" kalau tidak membuktikan bahwa saya mjd yang terbaik.",1
1,Knp Habibie dan Ainun 3 xde kat icity ke kat bukit raja ke kat setia city keeeee 😩😩😩😩😭😭😭,1
2,Pengen nntn Habibie dan Ainun 3 tapii ahh sudah lah 🥺,1
3,"Mau se romantis apapun jika suatu hubungan tidak satu dalam visi dan misi tidak ada artinya

-Habibie Ainun 3",1
4,"Pelajaran dari film Habibie & Ainun 3. Kalau jodoh emg gak bakalan kemana, walaupun udh nemu seseorang tapi ternyata beda frekuensi sama kita, ya ttp aja gak akan cocok dan jangan dipaksa, harus percaya sama pilihan sendiri. Kita memang bisa pilih tapi tetap Tuhan yg menentukan🤗",1
5,"Nonton Habibie dan Ainun 3, Bang 🙏🏼 nanti akan tahu jawabannya",1
6,"Jadi ceritanya habis nonton Habibie Ainun 3 .. Terus keluar keluar aku ketawa, padahal harusnya sedih. Gara-gara keponakan aku yang nangis belakangan dan kelenger sejadi2nya aku ya gak jadi nangis laaa😄",1
7,"Ah, saya jadi teringat film Imperfect dan Habibie Ainun 3. Didalam film itu mereka memiliki sedikit kesamaan:
1. Habibi ainun mengajarkan bagaimana kita seharusnya jadi seorang Indonesia.
2. Imperfect mengajarkan bagaimana kita seharusnya jadi seorang manusia.",1
8,Udah nonton habibie dan ainun 3 belum?,1
9,Udah nonton habibie dan ainun 3 belum?,1
10,"oke hari ini nonton 1/2 habibie dan ainun 3, imperfect. maraton salah2",1
11,“...bahkan sesuatu yang indah dan dramatis pun belum tentu satu frekuensi” - Habibie Ainun 3,1
12,"Poin lain yang ditangkap dr film habibie ainun 3 inikan, Nanti kalau udah jadi ibu, semoga bisa bener2 ngerangkul, mengayomi dan menjadi teman yg baik untuk anak2, karena ainun bisa jadi sebegitu juga karena ibunya.
. 
.
""I don't have to be a super mom, just be a good enough mom""",1
13,Udah pada nonton Habibie dan Ainun 3 belum?,1
14,"setelah nonton Habibie Ainun 3 jadi semakin berpikir, jika ingin mendapatkan lelaki setia paket komplit seperti pak B.J Habibie, haruslah cerdas, pemberani dan cantik seperti bu Ainun.. kalo gak ya paling dapatnya B.J Salak 🤣 gimana chol? @jefrinichol",1
15,"I think Indonesia should make a movie like Habibie dan Ainun 3.
Why?
Because the movies make a people learn a lot. 
After I watched that movie ""Should I being Ainun who stand with her dreams""",1
16,"Bahkan sesuatu yang indah dan dramatis belum tentu satu frekuensi
- Habibie & Ainun 3 -",1
17,"1. The avengers : end game
2. Perburuan
3. Perempuan tanah jahanam
4. Dua garis biru
5. Habibie dan ainun 3
#Top5Film2019",1
18,"Sesuatu yang indah dan dramatis belum tentu satu frekuensi. 

- Habibie & Ainun 3 -",1
19,"Habibie & Ainun 3.

Tu film hampir bikin gue netes.
""Kita di buku yg sama, tp halaman yg berbeda.""

Saling membahagiakan, tp ngga satu frekuensi dan beda visi. Akhirnya berpisah.
Ya, kisah cinta Ahmad dan Ainun.",1
